Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity,Average Fitness (Memory Length: 3),Diversity
7.25,0.9,7.25,0.86,7.25,0.85,7.25,0.87,7.25,0.85,7.25,0.84,7.25,0.83,7.26,0.85,7.25,0.78
7.26,0.89,7.26,0.85,7.25,0.88,7.25,0.85,7.25,0.85,7.25,0.84,7.25,0.84,7.26,0.83,7.25,0.81
7.25,0.88,7.25,0.87,7.25,0.87,7.25,0.85,7.25,0.86,7.25,0.87,7.25,0.85,7.26,0.83,7.25,0.82
7.25,0.88,7.25,0.86,7.26,0.87,7.25,0.84,7.26,0.84,7.25,0.85,7.25,0.85,7.25,0.84,7.25,0.79
7.26,0.88,7.25,0.87,7.25,0.86,7.25,0.88,7.25,0.87,7.25,0.86,7.26,0.85,7.26,0.82,7.25,0.8
7.25,0.9,7.26,0.87,7.25,0.87,7.25,0.85,7.25,0.82,7.26,0.85,7.25,0.82,7.26,0.83,7.25,0.82
7.26,0.88,7.25,0.86,7.25,0.86,7.25,0.85,7.25,0.85,7.25,0.86,7.25,0.83,7.26,0.83,7.26,0.81
7.25,0.89,7.25,0.88,7.26,0.85,7.26,0.86,7.25,0.86,7.25,0.86,7.25,0.85,7.25,0.83,7.25,0.82
7.25,0.89,7.25,0.87,7.26,0.85,7.26,0.86,7.25,0.85,7.25,0.85,7.26,0.85,7.25,0.82,7.25,0.83
7.25,0.89,7.25,0.87,7.25,0.85,7.25,0.86,7.26,0.85,7.25,0.84,7.25,0.84,7.26,0.83,7.26,0.82
7.25,0.89,7.25,0.88,7.25,0.86,7.26,0.84,7.26,0.85,7.25,0.86,7.25,0.84,7.25,0.84,7.25,0.8
7.25,0.88,7.25,0.87,7.25,0.86,7.25,0.85,7.26,0.83,7.25,0.86,7.25,0.83,7.25,0.83,7.25,0.79
7.26,0.86,7.25,0.88,7.26,0.87,7.25,0.85,7.25,0.83,7.25,0.86,7.25,0.84,7.25,0.84,7.25,0.82
7.25,0.87,7.25,0.87,7.25,0.85,7.25,0.85,7.25,0.85,7.26,0.85,7.25,0.83,7.26,0.82,7.25,0.81
7.25,0.88,7.26,0.88,7.25,0.87,7.25,0.84,7.25,0.84,7.25,0.85,7.24,0.84,7.25,0.84,7.25,0.82
7.25,0.86,7.25,0.87,7.25,0.84,7.25,0.85,7.25,0.85,7.25,0.84,7.25,0.82,7.25,0.81,7.25,0.81
7.25,0.88,7.25,0.87,7.25,0.86,7.25,0.86,7.26,0.86,7.26,0.85,7.26,0.83,7.25,0.83,7.25,0.82
7.25,0.88,7.26,0.86,7.25,0.86,7.26,0.86,7.25,0.84,7.25,0.84,7.25,0.85,7.25,0.82,7.25,0.78
7.26,0.88,7.26,0.87,7.25,0.88,7.25,0.85,7.25,0.85,7.25,0.83,7.25,0.83,7.26,0.83,7.25,0.81
7.25,0.87,7.25,0.87,7.26,0.88,7.25,0.85,7.25,0.86,7.25,0.85,7.25,0.84,7.25,0.84,7.25,0.8
7.25,0.88,7.25,0.86,7.25,0.86,7.25,0.85,7.25,0.84,7.25,0.84,7.25,0.84,7.25,0.84,7.25,0.8
7.25,0.87,7.25,0.85,7.25,0.86,7.25,0.86,7.25,0.87,7.25,0.86,7.25,0.86,7.25,0.82,7.25,0.82
7.25,0.87,7.25,0.85,7.25,0.85,7.25,0.85,7.25,0.85,7.26,0.84,7.25,0.83,7.25,0.84,7.25,0.8
7.25,0.88,7.25,0.87,7.25,0.86,7.26,0.87,7.26,0.87,7.25,0.85,7.25,0.84,7.25,0.81,7.25,0.79
7.25,0.87,7.26,0.87,7.25,0.86,7.26,0.85,7.25,0.85,7.25,0.86,7.26,0.84,7.25,0.84,7.25,0.81
7.25,0.87,7.26,0.87,7.25,0.86,7.25,0.88,7.25,0.86,7.25,0.85,7.25,0.86,7.25,0.82,7.25,0.82
7.25,0.88,7.25,0.86,7.24,0.87,7.25,0.88,7.25,0.86,7.25,0.85,7.26,0.82,7.25,0.84,7.25,0.81
7.25,0.87,7.25,0.86,7.25,0.87,7.25,0.86,7.26,0.85,7.25,0.84,7.25,0.84,7.26,0.82,7.25,0.8
7.25,0.87,7.25,0.86,7.25,0.87,7.25,0.87,7.25,0.84,7.25,0.84,7.25,0.85,7.25,0.83,7.25,0.8
7.25,0.88,7.25,0.87,7.25,0.85,7.25,0.87,7.25,0.86,7.25,0.84,7.25,0.85,7.26,0.84,7.25,0.82
